endpoint_tested_here,metric_category,source_target,input,quantity,calculation_level,aggregation,source_selected_or_defined,matches_source_patient_construction,source_formula,n_patients,n_values,values_per_patient,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,raw_p,holm_adjusted_p,adjustment_family,significant_after_holm_0_05,permutations,seed
sustained,individual qEEG feature,response,PRE sleep,delta PLI connectivity,clip-based,one clip,False,False,,50,100,2,2.923976629972458,8.187134563922882,0.3644480519480519,0.635551948051948,lower,0.0795479204520795,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,published EEG response score,sustained response,POST awake + POST sleep,R1,clip-based,all four within-patient POST awake/sleep clip pairs,True,False,4.765*POST-sleep entropy - 7.786*POST-awake DFA,50,200,4,31.948225112488082,26.10173859783405,0.8730722402597403,0.8730722402597403,higher,9.99999000001e-07,1.5999984000016e-05,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published EEG response score,sustained response,PRE awake,R0,clip-based,one PRE awake clip,True,False,-2.361*PRE-awake DFA - 0.051*PRE-awake PLI,50,100,2,-0.002393661394084569,-0.7491959983200962,0.7248376623376623,0.7248376623376623,higher,0.002631997368002632,0.021015978984021015,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published duration-adjusted response probability,sustained response,POST awake + POST sleep,P1,clip-based,all four within-patient POST awake/sleep clip pairs,True,False,sigmoid(-37.433 - 0.571*duration + 4.765*entropy - 7.781*DFA),50,200,4,0.0010301105911655435,1.9975545505324625e-06,0.8934659090909091,0.8934659090909091,higher,9.99999000001e-07,1.5999984000016e-05,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published duration-adjusted response probability,sustained response,PRE awake,P0,clip-based,one PRE awake clip,True,False,sigmoid(2.010 - 0.455*duration + R0),50,100,2,0.692959943045057,0.38297582501296135,0.7832792207792207,0.7832792207792207,higher,0.000228999771000229,0.00228999771000229,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published interval-change analysis,sustained response,PRE + POST awake,POST - PRE awake DFA,clip-based,all four within-patient PRE/POST clip pairs,True,False,POST feature - PRE feature,50,200,4,-0.29334189963546964,-0.1179163046327315,0.3969155844155844,0.6030844155844156,lower,0.13297286702713298,0.5318914681085319,16 paper-derived tests within endpoint,False,1000000,20260915
sustained,published interval-change analysis,sustained response,PRE + POST awake,POST - PRE awake PLI,clip-based,all four within-patient PRE/POST clip pairs,True,False,POST feature - PRE feature,50,200,4,4.678362607955933,1.1695906519889832,0.5560064935064936,0.5560064935064936,higher,0.4576095423904576,1.0,16 paper-derived tests within endpoint,False,1000000,20260915
sustained,published interval-change analysis,sustained response,PRE + POST sleep,POST - PRE sleep entropy,clip-based,all four within-patient PRE/POST clip pairs,True,False,POST feature - PRE feature,50,200,4,0.5063642884515307,0.09678169485984434,0.695515422077922,0.695515422077922,higher,0.004435995564004436,0.026615973384026617,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published relapse metric,relapse time among immediate responders,POST awake + POST sleep,rho,clip-based,all four within-patient POST awake/sleep clip pairs,True,False,4.008*POST-awake DFA - 1.661*POST-sleep entropy,50,200,4,-11.603172655748011,-9.183466469885728,0.14042207792207792,0.859577922077922,lower,9.99999000001e-07,1.5999984000016e-05,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,individual qEEG feature,response,POST awake,beta DFA intercept,patient-based,mean of two awake clips,True,True,,50,50,1,-0.4423040780709,-0.0866458451478531,0.1834415584415584,0.8165584415584416,lower,7.4999925000075e-05,0.0016499983500016,24 individual-feature tests within endpoint,True,1000000,20260913
sustained,individual qEEG feature,response,POST awake,beta Shannon entropy,patient-based,mean of two awake clips,False,False,,50,50,1,5.902222485163263,5.935482600508775,0.4967532467532468,0.5032467532467533,lower,0.9768330231669768,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,POST awake,delta PLI connectivity,patient-based,mean of two awake clips,False,False,,50,50,1,9.941520541906357,7.894736900925636,0.4310064935064935,0.5689935064935066,lower,0.4097555902444098,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,POST sleep,beta DFA intercept,patient-based,mean of two sleep clips,False,False,,50,50,1,-0.5132755318915163,-0.3681899090840601,0.3928571428571428,0.6071428571428572,lower,0.1985098014901985,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,POST sleep,beta Shannon entropy,patient-based,mean of two sleep clips,True,True,,50,50,1,5.972874047761917,5.37466260090507,0.8522727272727273,0.8522727272727273,higher,9.99999000001e-06,0.0002299997700002,24 individual-feature tests within endpoint,True,1000000,20260913
sustained,individual qEEG feature,response,POST sleep,delta PLI connectivity,patient-based,mean of two sleep clips,False,False,,50,50,1,10.964912362396715,22.514619678258896,0.3790584415584415,0.6209415584415585,lower,0.1463578536421463,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE awake,beta DFA intercept,patient-based,mean of two awake clips,True,True,,50,50,1,-0.2082894244249714,-0.0453497804359837,0.3165584415584415,0.6834415584415585,lower,0.0262759737240262,0.5255194744805256,24 individual-feature tests within endpoint,False,1000000,20260913
